title,year,duration,note,n_total,Genre,Director,Acteurs,Public,color,Descriptions
Planet Earth II,2016,"TV Mini Series,4,h, ,58,m",9.5,145K,"Documentary,Back to top",David Attenborough,"David Attenborough,Chadden Hunter,Gordon Buchanan,Elizabeth White,Pete McCowen,Emma Brennand,Barrie Britton,Fredi Devas,Sandesh Kadur,Mark MacEwen,Emma Napper,Ed Charles,Max Hug Williams,Jerome Poncet,Michael J. Sanderson,Toby Nowlan,Armin Holtze,Thomas Crowley",2016,,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.
Breaking Bad,2008–2013,"TV Series,49,m",9.5,1.9M,"Crime,Drama,Thriller,Back to top",Vince Gilligan,"Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell",2008–2013,,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.
Band of Brothers,2001,"TV Mini Series,9,h, ,54,m",9.4,468K,"Drama,History,War,Back to top",Scott Grimes,"Scott Grimes,Damian Lewis,Ron Livingston,Shane Taylor,Donnie Wahlberg,Peter Youngblood Hills,Matthew Leitch,Nicholas Aaron,Philip Barantini,Michael Cudlitz,Dexter Fletcher,Rick Gomez,James Madio,Ross McCall,Doug Allen,George Calil,Nolan Hemmings,Robin Laing",2001,,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day."
Avatar: The Last Airbender,2005–2008,"TV Series,23,m",9.3,315K,"Animation,Action,Adventure,Back to top",Michael Dante DiMartino,"Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman,Jack De Sena,Dante Basco,Michaela Jill Murphy,Mako,Grey Griffin,André Sogliuzzo,Cricket Leigh,Mark Hamill,Jennie Kwan,Olivia Hack,Greg Baldwin,Jim Meskimen,James Garrett,Jason Isaacs,James Sie",2005–2008,,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
The Wire,2002–2008,"TV Series,59,m",9.3,340K,"Crime,Drama,Thriller,Back to top",David Simon,"Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,John Doman,Deirdre Lovejoy,Seth Gilliam,Domenick Lombardozzi,Clarke Peters,Andre Royo,Michael Kenneth Williams,Jim True-Frost,Frankie Faison,Corey Parker Robinson,Delaney Williams,J.D. Williams,Wood Harris,Idris Elba",2002–2008,,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
Planet Earth,2006,"TV Mini Series,8,h, ,58,m",9.4,210K,"Documentary,Back to top",Sigourney Weaver,"Sigourney Weaver,David Attenborough,Nikolay Drozdov,Thomas Anguti Johnston,Sanae Ueda,Huw Cordey,Mark Linfield,Doug Allan,Chadden Hunter,Michael Kelem,Paul Stewart,Jeff Wilson,Doug Anderson,Simon King,Tom Clarke,Justine Evans,Jonathan Keeling,Warwick Sloss",2006,,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition."
Blue Planet II,2017–2022,"TV Mini Series,6,h, ,4,m",9.3,41K,"Documentary,Back to top",David Attenborough,"David Attenborough,Peter Drost,Russell Boulter,Roger Munns,Roger Horrocks",2017–2022,,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face."
Chernobyl,2019,"TV Mini Series,5,h, ,30,m",9.4,750K,"Drama,History,Thriller,Back to top",Craig Mazin,"Jessie Buckley,Jared Harris,Stellan Skarsgård,Adam Nagaitis,Emily Watson,Paul Ritter,Robert Emms,Sam Troughton,Karl Davies,Michael Socha,Laura Elphinstone,Jan Ricica,Adrian Rawlins,Alan Williams,Con O'Neill,Douggie McMeekin,Nadia Clifford,David Dencik",2019,,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes."
Cosmos: A Spacetime Odyssey,2014,"TV Mini Series,9,h, ,17,m",9.3,122K,"Documentary,Back to top",Neil deGrasse Tyson,"Neil deGrasse Tyson,Christopher Emerson,Keythe Farley,Piotr Michael,Enn Reitel,Stoney Emshwiller,André Sogliuzzo,Amanda Seyfried,Kirsten Dunst,Paul Sorvino,Phil LaMarr,Larry Cedar,Christiane Amanpour,Seth MacFarlane,Fred Tatasciore,Martin Jarvis,Glenn Steinbaum,Maria Frucci",2014,,An exploration of our discovery of the laws of nature and coordinates in space and time.
Our Planet,2019,"TV Mini Series,6,h, ,43,m",9.3,44K,"Documentary,Back to top",David Attenborough,David Attenborough,2019,,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America."
